Gene,Non-unique Gene name,Annotation,FF06741431_G.swidsinskii,FF06741441_G.leopoldii,FF06741443_G.vaginalis_A,FF06741449_G.leopoldii,FF06741453_G.vaginalis,FF06741457_G.vaginalis_A,FF06741457_G.vaginalis_E,FF06741459_G.vaginalis_A,FF06741461_G.vaginalis_A,FF06741463_G.piotii,FF06741464_G.swidsinskii,FF06741735_G.sp947289115,FF06741736_G.vaginalis_C,FF06741741_G.swidsinskii,FF06741742_G.swidsinskii,FF06741746_G.sp947289115,FF06741748_G.swidsinskii,FF06741748_G.vaginalis,FF06741749_G.leopoldii,FF06741751_G.swidsinskii,FF06742652_G.swidsinskii,FS42685545_G.vaginalis,FS42685549_G.piotii,FS42685557_G.vaginalis_A,FS42685567_G.vaginalis,FS42685569_G.piotii,FS42685570_G.piotii,FS42685571_G.swidsinskii,FS42685572_G.swidsinskii,FS42685572_G.vaginalis,FS42685575_G.swidsinskii,FS42685576_G.vaginalis_H,FS42685584_G.leopoldii,FS42685584_G.piotii,FS42686173_G.leopoldii,FS42686174_G.piotii,FS42686174_G.swidsinskii,FS42686177_G.swidsinskii,FS42686179_G.piotii,FS42686179_G.swidsinskii,FS42686180_G.vaginalis,FS42686185_G.piotii,FS42686188_G.vaginalis,FS42686194_G.vaginalis,FS42686197_G.leopoldii,FS42686197_G.vaginalis,FS42686200_G.vaginalis_H,FS42686202_G.vaginalis_C,FS42686203_G.swidsinskii,FS42686210_G.swidsinskii,FS42686210_G.vaginalis,FS42686216_G.vaginalis,FS42687147_G.vaginalis,FS42687148_G.leopoldii,FS42687152_G.vaginalis,FS42687153_G.vaginalis_H,FS42687157_G.vaginalis,FS42687160_G.vaginalis,FS42687164_G.leopoldii,FS42687167_G.piotii,FS42687180_G.swidsinskii
group_1043,,hypothetical protein,FKILNLMM_00485,GIPBMKFD_00817,,AFFLGDGC_00755,,,,,,,MKDEPHEP_01050,GNEALLOE_00904,,PONOIEHE_00843,FIBOILMM_00729,APCAEHFD_00859,FLPEIIEP_00761,,HINIEJCA_00557,OMIKPLOJ_00787,OPLHJKPH_01014,,,,,,,DFOKPGIE_01193,BEKPBNEK_00770,,FMNIPFCJ_00917,,OJJBDPGP_00544,,OBLOJFDA_00238,,MJDADDMM_00078,EDKPEHFM_00566,,LGNAKCJL_00711,,,,,HGINDJMA_00960,,,,MGJCNIPK_00377,AKIABIOK_00884,,,,CLLCJGKF_01068,,,,,OBBOBBAE_00795,,AMOGCKBM_01031
group_990,dinB,DNA polymerase IV,,,,,DCGIHJJB_01255,,,,,MHMPKAEF_00634,,GNEALLOE_00562,,,,APCAEHFD_00456,,NBBAMHOG_00770,,,,NBLOMMJF_00071,OLMEONEL_00536,,NDDDCALJ_01137,DLEBNMND_00088,GEPBNDCO_00532,,,EAAKBJBK_01014,,,,NKJPJJEP_00281,,NLALJHLH_00956,,,GKLKKKNA_00848,,IDKOCMBL_00497,CFGPDMND_00838,DCIIGEBB_00661,CBECPNCO_00580,,DBLHLLOB_01226,,,,,HEOIIJDM_00168,GDFGBGJM_00389,LKPJNLPD_00752,,CHHPHLEM_00735,,ANLJHCED_01116,JMCHCOOD_00523,,ODKBPENJ_00122,
thiM_2,thiM_2,Hydroxyethylthiazole kinase,,,,,DCGIHJJB_01131,,,,,MHMPKAEF_01038,,GNEALLOE_01040,,,,APCAEHFD_00806,,NBBAMHOG_01271,,,,NBLOMMJF_00849,OLMEONEL_01180,,NDDDCALJ_00998,DLEBNMND_00966,GEPBNDCO_01228,,,EAAKBJBK_00464,,,,NKJPJJEP_01268,,NLALJHLH_00976,,,GKLKKKNA_01090,,IDKOCMBL_00976,CFGPDMND_01103,DCIIGEBB_01066,CBECPNCO_01178,,DBLHLLOB_00928,,,,,HEOIIJDM_01251,GDFGBGJM_00826,LKPJNLPD_01189,,CHHPHLEM_01133,,ANLJHCED_01313,JMCHCOOD_00390,,ODKBPENJ_01145,
group_956,,hypothetical protein,,,,AFFLGDGC_00929,DCGIHJJB_00912,,MAIBJLIG_01192,,,,MKDEPHEP_01380,GNEALLOE_00981,JKACDCNN_00408,PONOIEHE_01213,FIBOILMM_01035,,FLPEIIEP_01319,,,OMIKPLOJ_01256,OPLHJKPH_00456,NBLOMMJF_01197,OLMEONEL_01053,,,DLEBNMND_00761,,DFOKPGIE_01049,BEKPBNEK_00047,,,GHGEDPDF_00223,,,,NLALJHLH_01237,,EDKPEHFM_00942,,,,,,,,DBLHLLOB_00910,,,MGJCNIPK_03130,,,GDFGBGJM_01069,,CLLCJGKF_01131,,NPJENFAK_00775,,JMCHCOOD_00963,,ODKBPENJ_00382,
group_908,fkbP,FK506-binding protein,FKILNLMM_00576,GIPBMKFD_00019,,,,,MAIBJLIG_00174,,,,MKDEPHEP_00815,GNEALLOE_00147,JKACDCNN_01065,PONOIEHE_00168,,,FLPEIIEP_01027,,HINIEJCA_00250,OMIKPLOJ_01126,OPLHJKPH_00650,,,,,,,DFOKPGIE_00874,BEKPBNEK_00666,,FMNIPFCJ_00641,GHGEDPDF_00842,,,OBLOJFDA_00199,,MJDADDMM_00713,,,LGNAKCJL_00573,,,,,HGINDJMA_00136,,,EPGGAPPC_00008,MGJCNIPK_01269,AKIABIOK_00063,,,,CLLCJGKF_00676,,NPJENFAK_00446,,,OBBOBBAE_00803,,AMOGCKBM_00743
lexA,lexA,LexA repressor,FKILNLMM_00574,GIPBMKFD_00021,,,,,MAIBJLIG_00172,,,,MKDEPHEP_00813,GNEALLOE_00145,JKACDCNN_01067,PONOIEHE_00166,,,FLPEIIEP_01029,,HINIEJCA_00248,OMIKPLOJ_01128,OPLHJKPH_00648,,,,,,,DFOKPGIE_00872,BEKPBNEK_00668,,FMNIPFCJ_00643,GHGEDPDF_00840,,,OBLOJFDA_00201,,MJDADDMM_00711,,,LGNAKCJL_00571,,,,,HGINDJMA_00134,,,EPGGAPPC_00010,MGJCNIPK_01267,AKIABIOK_00061,,,,CLLCJGKF_00674,,NPJENFAK_00448,,,OBBOBBAE_00805,,AMOGCKBM_00745
obg,obg,GTPase Obg,,,,,DCGIHJJB_01110,,,,,MHMPKAEF_00805,,GNEALLOE_00389,,,,APCAEHFD_00847,,NBBAMHOG_01005,,,,NBLOMMJF_01120,OLMEONEL_00094,,NDDDCALJ_01199,DLEBNMND_00663,GEPBNDCO_00752,,,EAAKBJBK_01226,,,,NKJPJJEP_00979,,NLALJHLH_00862,,,GKLKKKNA_00130,,IDKOCMBL_00808,CFGPDMND_00195,DCIIGEBB_00342,CBECPNCO_01303,,DBLHLLOB_01236,,,,,HEOIIJDM_01299,GDFGBGJM_00860,LKPJNLPD_00689,,CHHPHLEM_00891,,ANLJHCED_01358,JMCHCOOD_00877,,ODKBPENJ_00979,
group_840,,hypothetical protein,,,,,DCGIHJJB_00493,,,,,MHMPKAEF_00976,,GNEALLOE_00287,,,,APCAEHFD_00656,,NBBAMHOG_01085,,,,NBLOMMJF_00552,OLMEONEL_00004,,NDDDCALJ_00825,DLEBNMND_00298,GEPBNDCO_00679,,,EAAKBJBK_00267,,,,NKJPJJEP_00674,,NLALJHLH_00750,,,GKLKKKNA_00086,,IDKOCMBL_00152,CFGPDMND_00595,DCIIGEBB_00205,CBECPNCO_00951,,DBLHLLOB_00629,,,,,HEOIIJDM_00043,GDFGBGJM_00301,LKPJNLPD_00810,,CHHPHLEM_00709,,ANLJHCED_00015,JMCHCOOD_00246,,ODKBPENJ_01017,
group_830,,hypothetical protein,,,,,DCGIHJJB_01084,,,,,MHMPKAEF_00664,,GNEALLOE_00415,,,,APCAEHFD_00821,,NBBAMHOG_01159,,,,NBLOMMJF_01146,OLMEONEL_00157,,NDDDCALJ_01226,DLEBNMND_00118,GEPBNDCO_00501,,,EAAKBJBK_01168,,,,NKJPJJEP_00312,,NLALJHLH_00460,,,GKLKKKNA_00662,,IDKOCMBL_00523,CFGPDMND_00807,DCIIGEBB_00368,CBECPNCO_01277,,DBLHLLOB_01264,,,,,HEOIIJDM_00523,GDFGBGJM_00886,LKPJNLPD_00943,,CHHPHLEM_00526,,ANLJHCED_01365,JMCHCOOD_00903,,ODKBPENJ_00092,
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,,,,,DCGIHJJB_01132,,,,,MHMPKAEF_01039,,GNEALLOE_01039,,,,APCAEHFD_00805,,NBBAMHOG_01272,,,,NBLOMMJF_00848,OLMEONEL_01181,,NDDDCALJ_00999,DLEBNMND_00967,GEPBNDCO_01227,,,EAAKBJBK_00463,,,,NKJPJJEP_01267,,NLALJHLH_00977,,,GKLKKKNA_01089,,IDKOCMBL_00977,CFGPDMND_01102,DCIIGEBB_01065,CBECPNCO_01179,,DBLHLLOB_00929,,,,,HEOIIJDM_01252,GDFGBGJM_00825,LKPJNLPD_01188,,CHHPHLEM_01132,,ANLJHCED_01314,JMCHCOOD_00389,,ODKBPENJ_01144,
group_789,,hypothetical protein,FKILNLMM_01114,GIPBMKFD_01084,,AFFLGDGC_00079,,,,,,,MKDEPHEP_00180,GNEALLOE_00780,,PONOIEHE_00685,FIBOILMM_00414,APCAEHFD_00183,FLPEIIEP_00365,,HINIEJCA_00421,OMIKPLOJ_00296,OPLHJKPH_00209,,,,,,,DFOKPGIE_00421,BEKPBNEK_00208,,FMNIPFCJ_00186,,OJJBDPGP_00207,,OBLOJFDA_00078,,MJDADDMM_01100,EDKPEHFM_00375,,LGNAKCJL_00195,,,,,HGINDJMA_00517,,,,MGJCNIPK_00741,AKIABIOK_00505,,,,CLLCJGKF_00978,,,,,OBBOBBAE_00232,,AMOGCKBM_00182
aspC~~~hisC,aspC;hisC,putative aspartate aminotransferase;Histidinol-phosphate aminotransferase,FKILNLMM_00454,GIPBMKFD_00231,,,,,MAIBJLIG_01221,,,,MKDEPHEP_00053,GNEALLOE_00686,JKACDCNN_00039,PONOIEHE_00452,,APCAEHFD_00063,FLPEIIEP_00503,,HINIEJCA_00041,OMIKPLOJ_00619,OPLHJKPH_00331,,,,,,,DFOKPGIE_00542,BEKPBNEK_01026,,FMNIPFCJ_00066,GHGEDPDF_00057,,,OBLOJFDA_00361,,MJDADDMM_00510,,,LGNAKCJL_00318,,,,,HGINDJMA_00373,,,EPGGAPPC_00221,MGJCNIPK_01091,AKIABIOK_00594,,,,CLLCJGKF_00843,,NPJENFAK_00527,,,,,AMOGCKBM_00064
group_780,btuD_10;btuD_11,Vitamin B12 import ATP-binding protein BtuD,,,,,DCGIHJJB_00010,,,,,,,11_refound_478,,PONOIEHE_01269,,,,NBBAMHOG_01207,HINIEJCA_01296,,OPLHJKPH_00938,NBLOMMJF_00959,,,NDDDCALJ_00507,DLEBNMND_01118,GEPBNDCO_00364,,,EAAKBJBK_01275,,GHGEDPDF_01168,,NKJPJJEP_01149,,NLALJHLH_01152,MJDADDMM_01220,,,LGNAKCJL_00629,IDKOCMBL_00747,,,CBECPNCO_00415,,DBLHLLOB_00025,MMPGJHDA_00924,,MGJCNIPK_02175,AKIABIOK_01193,,GDFGBGJM_00909,LKPJNLPD_00876,CLLCJGKF_01265,,,,,,,AMOGCKBM_00705
group_757,,hypothetical protein,,,,,DCGIHJJB_01159,,,,,MHMPKAEF_01064,,GNEALLOE_00832,,,,APCAEHFD_00780,,NBBAMHOG_00417,,,,NBLOMMJF_00821,OLMEONEL_00234,,NDDDCALJ_01025,DLEBNMND_00992,GEPBNDCO_01021,,,EAAKBJBK_00437,,,,NKJPJJEP_00999,,NLALJHLH_01002,,,GKLKKKNA_00442,,IDKOCMBL_00946,CFGPDMND_01078,DCIIGEBB_00514,CBECPNCO_01207,,DBLHLLOB_00954,,,,,HEOIIJDM_00579,GDFGBGJM_00800,LKPJNLPD_00292,,CHHPHLEM_00387,,ANLJHCED_00643,JMCHCOOD_00362,,ODKBPENJ_01127,
group_739,,hypothetical protein,,,,,DCGIHJJB_00459,,,,,MHMPKAEF_01007,,GNEALLOE_00324,,,,APCAEHFD_00690,,NBBAMHOG_00984,,,,NBLOMMJF_00518,OLMEONEL_00036,,NDDDCALJ_00792,DLEBNMND_00329,GEPBNDCO_00647,,,EAAKBJBK_00300,,,,NKJPJJEP_00638,,NLALJHLH_00787,,,GKLKKKNA_00535,,IDKOCMBL_00878,CFGPDMND_00626,DCIIGEBB_00466,CBECPNCO_00917,,DBLHLLOB_00666,,,,,HEOIIJDM_00079,GDFGBGJM_00267,LKPJNLPD_00235,,CHHPHLEM_00903,,ANLJHCED_00737,JMCHCOOD_00210,,ODKBPENJ_00985,
rnpA,rnpA,Ribonuclease P protein component,,,,,DCGIHJJB_00503,,,,,MHMPKAEF_00966,,GNEALLOE_00277,,,,APCAEHFD_00646,,NBBAMHOG_00478,,,,NBLOMMJF_00561,OLMEONEL_00676,,NDDDCALJ_00835,DLEBNMND_00288,GEPBNDCO_00689,,,EAAKBJBK_00257,,,,NKJPJJEP_00684,,NLALJHLH_00740,,,GKLKKKNA_00095,,IDKOCMBL_00161,CFGPDMND_00585,DCIIGEBB_00196,CBECPNCO_00961,,DBLHLLOB_00620,,,,,HEOIIJDM_00034,GDFGBGJM_00310,LKPJNLPD_00120,,CHHPHLEM_00033,,ANLJHCED_00024,JMCHCOOD_00255,,ODKBPENJ_01027,
group_671,,hypothetical protein,FKILNLMM_00571,GIPBMKFD_00024,,,,,MAIBJLIG_00169,,,,MKDEPHEP_00810,GNEALLOE_00142,JKACDCNN_01070,PONOIEHE_00163,,,FLPEIIEP_01032,,HINIEJCA_00245,OMIKPLOJ_01132,OPLHJKPH_00645,,,,,,,DFOKPGIE_00869,BEKPBNEK_00671,,FMNIPFCJ_00646,GHGEDPDF_00836,,,OBLOJFDA_00204,,MJDADDMM_00708,,,LGNAKCJL_00567,,,,,HGINDJMA_00131,,,EPGGAPPC_00013,MGJCNIPK_01077,AKIABIOK_00058,,,,CLLCJGKF_00671,,NPJENFAK_00452,,,OBBOBBAE_00808,,AMOGCKBM_00748
cinA,cinA,Putative competence-damage inducible protein,FKILNLMM_00843,GIPBMKFD_01108,,AFFLGDGC_00102,,,,,,,MKDEPHEP_00259,GNEALLOE_00803,,PONOIEHE_01244,FIBOILMM_00391,APCAEHFD_00206,FLPEIIEP_00341,,HINIEJCA_00397,OMIKPLOJ_00319,OPLHJKPH_00186,,,,,,,DFOKPGIE_00028,BEKPBNEK_00185,,FMNIPFCJ_00209,,OJJBDPGP_00183,,OBLOJFDA_00054,,MJDADDMM_00879,EDKPEHFM_00398,,LGNAKCJL_00172,,,,,HGINDJMA_00540,,,,MGJCNIPK_00449,AKIABIOK_00528,,,,CLLCJGKF_00524,,,,,OBBOBBAE_00743,,AMOGCKBM_00205
ponA1~~~mtgA_2,ponA1;mtgA_2,Penicillin-binding protein 1A;Biosynthetic peptidoglycan transglycosylase,,,,,DCGIHJJB_01184,,,,,MHMPKAEF_01085,,GNEALLOE_00856,,,,APCAEHFD_00755,,NBBAMHOG_00393,HINIEJCA_00996,,,NBLOMMJF_00796,OLMEONEL_00213,,NDDDCALJ_01049,DLEBNMND_01012,GEPBNDCO_01005,,,EAAKBJBK_00413,,,,NKJPJJEP_01019,,NLALJHLH_01023,,,GKLKKKNA_00964,,IDKOCMBL_00186,CFGPDMND_01013,DCIIGEBB_00901,CBECPNCO_01233,,DBLHLLOB_00974,,,,,,GDFGBGJM_00970,LKPJNLPD_00819,,CHHPHLEM_00608,,ANLJHCED_00550,JMCHCOOD_00338,,ODKBPENJ_01107,
gpm2~~~gpmA_2,gpm2;gpmA_2,Acid phosphatase;23-bisphosphoglycerate-dependent phosphoglycerate mutase,,,,,DCGIHJJB_01154,,,,,MHMPKAEF_01058,,GNEALLOE_00827,,,,APCAEHFD_00785,,NBBAMHOG_00422,,,,NBLOMMJF_00826,OLMEONEL_00240,,NDDDCALJ_01020,DLEBNMND_00986,GEPBNDCO_01026,,,EAAKBJBK_00442,,,,NKJPJJEP_00993,,NLALJHLH_00996,,,GKLKKKNA_00436,,IDKOCMBL_00941,CFGPDMND_01084,DCIIGEBB_00509,CBECPNCO_01202,,DBLHLLOB_00949,,,,,HEOIIJDM_00574,GDFGBGJM_00805,LKPJNLPD_00287,,CHHPHLEM_00392,,ANLJHCED_00648,JMCHCOOD_00367,,ODKBPENJ_01132,
group_511,,hypothetical protein,,,,,DCGIHJJB_00471,,,,,MHMPKAEF_00998,,GNEALLOE_00309,,,,APCAEHFD_00678,,NBBAMHOG_00972,,,,NBLOMMJF_00530,OLMEONEL_00026,,NDDDCALJ_00803,DLEBNMND_00320,GEPBNDCO_00656,,,EAAKBJBK_00290,,,,NKJPJJEP_00652,,NLALJHLH_00772,,,GKLKKKNA_00911,,IDKOCMBL_00985,CFGPDMND_00617,DCIIGEBB_00228,CBECPNCO_00929,,DBLHLLOB_00651,,,,,HEOIIJDM_00065,GDFGBGJM_00279,LKPJNLPD_01004,,CHHPHLEM_01209,,ANLJHCED_00748,JMCHCOOD_00224,,ODKBPENJ_00994,
group_457,,hypothetical protein,FKILNLMM_01118,GIPBMKFD_01088,,AFFLGDGC_00083,,,,,,,MKDEPHEP_00184,GNEALLOE_00784,,PONOIEHE_00681,FIBOILMM_00410,APCAEHFD_00187,FLPEIIEP_00361,,HINIEJCA_00417,OMIKPLOJ_00300,OPLHJKPH_00205,,,,,,,DFOKPGIE_00417,BEKPBNEK_00204,,FMNIPFCJ_00190,,OJJBDPGP_00203,,OBLOJFDA_00074,,MJDADDMM_01096,EDKPEHFM_00379,,LGNAKCJL_00191,,,,,HGINDJMA_00521,,,,MGJCNIPK_00745,AKIABIOK_00509,,,,CLLCJGKF_00974,,,,,OBBOBBAE_00236,,AMOGCKBM_00186
group_434,,hypothetical protein,FKILNLMM_00211,GIPBMKFD_00294,,AFFLGDGC_00333,,,MAIBJLIG_00787,,,,MKDEPHEP_00452,,JKACDCNN_00823,PONOIEHE_01052,FIBOILMM_00113,,FLPEIIEP_00223,,HINIEJCA_00700,OMIKPLOJ_00023,OPLHJKPH_00823,,,,,,,DFOKPGIE_00261,BEKPBNEK_00952,,FMNIPFCJ_00381,,OJJBDPGP_00107,,OBLOJFDA_01054,,MJDADDMM_00639,EDKPEHFM_00075,,LGNAKCJL_01084,,,,,HGINDJMA_00780,,,,MGJCNIPK_00033,AKIABIOK_00653,,,,CLLCJGKF_00214,,,,,OBBOBBAE_00030,,AMOGCKBM_00601
pepC,pepC,Aminopeptidase C,,,,,DCGIHJJB_01199,,,,,MHMPKAEF_01107,,GNEALLOE_00870,,,,APCAEHFD_00741,,NBBAMHOG_00378,HINIEJCA_00982,,,NBLOMMJF_00781,OLMEONEL_00511,,NDDDCALJ_01065,DLEBNMND_01031,GEPBNDCO_00985,,,EAAKBJBK_00399,,,,NKJPJJEP_01037,,NLALJHLH_01126,,,GKLKKKNA_00293,,IDKOCMBL_00201,CFGPDMND_00994,DCIIGEBB_00745,CBECPNCO_01248,,DBLHLLOB_00988,,,,,HEOIIJDM_00836,GDFGBGJM_00956,LKPJNLPD_00897,,CHHPHLEM_00825,,,JMCHCOOD_00323,,ODKBPENJ_01159,
greA,greA,Transcription elongation factor GreA,FKILNLMM_00575,GIPBMKFD_00020,,,,,MAIBJLIG_00173,,,,MKDEPHEP_00814,GNEALLOE_00146,JKACDCNN_01066,PONOIEHE_00167,,,FLPEIIEP_01028,,HINIEJCA_00249,OMIKPLOJ_01127,OPLHJKPH_00649,,,,,,,DFOKPGIE_00873,BEKPBNEK_00667,,FMNIPFCJ_00642,GHGEDPDF_00841,,,OBLOJFDA_00200,,MJDADDMM_00712,,,LGNAKCJL_00572,,,,,HGINDJMA_00135,,,EPGGAPPC_00009,MGJCNIPK_01268,AKIABIOK_00062,,,,CLLCJGKF_00675,,NPJENFAK_00447,,,OBBOBBAE_00804,,AMOGCKBM_00744
group_329,,hypothetical protein,,,,,DCGIHJJB_00498,,,,,MHMPKAEF_00971,,GNEALLOE_00282,,,,APCAEHFD_00651,,NBBAMHOG_00482,,,,NBLOMMJF_00557,OLMEONEL_00680,,NDDDCALJ_00830,DLEBNMND_00293,GEPBNDCO_00684,,,EAAKBJBK_00262,,,,NKJPJJEP_00679,,NLALJHLH_00745,,,GKLKKKNA_00091,,IDKOCMBL_00157,CFGPDMND_00590,DCIIGEBB_00200,CBECPNCO_00956,,DBLHLLOB_00624,,,,,HEOIIJDM_00038,GDFGBGJM_00306,LKPJNLPD_00116,,CHHPHLEM_00037,,ANLJHCED_00020,JMCHCOOD_00251,,ODKBPENJ_01022,
group_281,,hypothetical protein,,,,,DCGIHJJB_01209,,,,,MHMPKAEF_01116,,GNEALLOE_00879,,,,APCAEHFD_00732,,NBBAMHOG_01166,,,,NBLOMMJF_00772,OLMEONEL_00520,,NDDDCALJ_01075,DLEBNMND_01041,GEPBNDCO_00976,,,EAAKBJBK_01259,,,,NKJPJJEP_01046,,NLALJHLH_01135,,,GKLKKKNA_00302,,IDKOCMBL_00210,CFGPDMND_00985,DCIIGEBB_00755,CBECPNCO_01257,,DBLHLLOB_00997,,,,,HEOIIJDM_01249,GDFGBGJM_00947,LKPJNLPD_00931,,CHHPHLEM_00671,,ANLJHCED_00940,JMCHCOOD_00313,,ODKBPENJ_01150,
group_259,,hypothetical protein,FKILNLMM_00201,,BFKFBIFC_00196,,,,,CEAADGFG_00086,FJPIOAPD_00459,,MKDEPHEP_00441,,,PONOIEHE_01041,FIBOILMM_00124,,FLPEIIEP_00212,,,OMIKPLOJ_00033,OPLHJKPH_00812,,,KDJKPMPD_01004,,,GEPBNDCO_00477,DFOKPGIE_00250,BEKPBNEK_00962,,FMNIPFCJ_00391,GHGEDPDF_00700,,NKJPJJEP_00336,,NLALJHLH_00436,MJDADDMM_00765,EDKPEHFM_00086,,LGNAKCJL_01073,,CFGPDMND_00442,,,,,MMPGJHDA_00113,,MGJCNIPK_00044,,,,,,,NPJENFAK_00256,,,,,AMOGCKBM_00590
group_238,,hypothetical protein,FKILNLMM_01108,GIPBMKFD_01079,,AFFLGDGC_00074,,,,,,,MKDEPHEP_00175,GNEALLOE_00775,,PONOIEHE_00690,FIBOILMM_00420,APCAEHFD_00178,FLPEIIEP_00370,,HINIEJCA_00426,OMIKPLOJ_00290,OPLHJKPH_00214,,,,,,,DFOKPGIE_00426,BEKPBNEK_00213,,FMNIPFCJ_00180,,OJJBDPGP_00404,,OBLOJFDA_00820,,MJDADDMM_01192,EDKPEHFM_00370,,LGNAKCJL_00201,,,,,HGINDJMA_00651,,,,MGJCNIPK_00905,AKIABIOK_00500,,,,CLLCJGKF_00983,,,,,OBBOBBAE_00227,,AMOGCKBM_00177
group_19,,hypothetical protein,,,,AFFLGDGC_00931,DCGIHJJB_00910,,MAIBJLIG_01194,,,,MKDEPHEP_01382,GNEALLOE_00979,JKACDCNN_00406,PONOIEHE_01211,FIBOILMM_01037,,FLPEIIEP_01321,,,OMIKPLOJ_01258,OPLHJKPH_00458,NBLOMMJF_01195,OLMEONEL_01051,,,DLEBNMND_00763,,DFOKPGIE_01051,BEKPBNEK_00049,,,GHGEDPDF_00221,,,,NLALJHLH_01235,,EDKPEHFM_00944,,,,,,,,DBLHLLOB_00908,,,MGJCNIPK_03132,AKIABIOK_01213,,GDFGBGJM_01067,,CLLCJGKF_01133,,NPJENFAK_00773,,,,ODKBPENJ_00380,
group_2954,,hypothetical protein,,,,,DCGIHJJB_00997,,,,,MHMPKAEF_00812,,,,,,APCAEHFD_00380,,NBBAMHOG_01139,,,,NBLOMMJF_00143,OLMEONEL_00087,,NDDDCALJ_00992,DLEBNMND_00670,GEPBNDCO_00760,,,EAAKBJBK_00366,,,,NKJPJJEP_00972,,NLALJHLH_00855,,,GKLKKKNA_00137,,IDKOCMBL_00953,CFGPDMND_00188,DCIIGEBB_01015,CBECPNCO_01120,,DBLHLLOB_01119,,,,,HEOIIJDM_00717,GDFGBGJM_01030,LKPJNLPD_00166,,CHHPHLEM_00694,,ANLJHCED_00858,JMCHCOOD_00837,,ODKBPENJ_00972,
group_2893,glxR,CRP-like cAMP-activated global transcriptional regulator,,,,,DCGIHJJB_01044,,,,,MHMPKAEF_00569,,GNEALLOE_00457,,,,,,NBBAMHOG_00551,,,,NBLOMMJF_00906,OLMEONEL_00403,,NDDDCALJ_00324,DLEBNMND_00024,GEPBNDCO_00596,,,EAAKBJBK_00863,,,,NKJPJJEP_00209,,NLALJHLH_00891,,,GKLKKKNA_00413,,IDKOCMBL_00444,CFGPDMND_00902,DCIIGEBB_00448,CBECPNCO_00656,,DBLHLLOB_01151,,,,,HEOIIJDM_00622,GDFGBGJM_00144,LKPJNLPD_00481,,CHHPHLEM_00415,,ANLJHCED_00486,JMCHCOOD_00681,,ODKBPENJ_00190,
group_2863,,hypothetical protein,,,,,DCGIHJJB_01210,,,,,MHMPKAEF_01117,,GNEALLOE_00880,,,,APCAEHFD_00731,,NBBAMHOG_01167,,,,NBLOMMJF_00771,OLMEONEL_00521,,NDDDCALJ_01076,DLEBNMND_01042,,,,EAAKBJBK_01258,,,,NKJPJJEP_01047,,NLALJHLH_01136,,,GKLKKKNA_00303,,IDKOCMBL_00211,CFGPDMND_00984,DCIIGEBB_00756,CBECPNCO_01258,,DBLHLLOB_00998,,,,,HEOIIJDM_01248,GDFGBGJM_00946,LKPJNLPD_00932,,CHHPHLEM_00670,,ANLJHCED_00939,JMCHCOOD_00312,,ODKBPENJ_01149,
group_2767,lacR,Lactose phosphotransferase system repressor,,,,,DCGIHJJB_01358,,,,,MHMPKAEF_00548,,GNEALLOE_00482,,,,,,NBBAMHOG_01260,,,,NBLOMMJF_00882,OLMEONEL_00381,,NDDDCALJ_00348,DLEBNMND_00001,GEPBNDCO_00618,,,EAAKBJBK_00839,,,,NKJPJJEP_00187,,NLALJHLH_01096,,,GKLKKKNA_00434,,IDKOCMBL_00909,CFGPDMND_00923,DCIIGEBB_00997,CBECPNCO_00680,,DBLHLLOB_00522,,,,,HEOIIJDM_01275,GDFGBGJM_00168,LKPJNLPD_01047,,CHHPHLEM_00973,,ANLJHCED_01312,JMCHCOOD_00706,,ODKBPENJ_00212,
artM,artM,Arginine transport ATP-binding protein ArtM,,,,,DCGIHJJB_01060,,,,,MHMPKAEF_00585,,GNEALLOE_00441,,,,,,NBBAMHOG_00567,,,,NBLOMMJF_00922,OLMEONEL_00419,,NDDDCALJ_00308,DLEBNMND_00040,GEPBNDCO_00580,,,EAAKBJBK_00879,,,,NKJPJJEP_00226,,NLALJHLH_00907,,,GKLKKKNA_00644,,IDKOCMBL_00541,CFGPDMND_00886,DCIIGEBB_00432,CBECPNCO_00640,,DBLHLLOB_01167,,,,,HEOIIJDM_00792,GDFGBGJM_01097,LKPJNLPD_00557,,CHHPHLEM_00550,,ANLJHCED_00758,JMCHCOOD_00665,,ODKBPENJ_00174,
group_2685,,6-phosphogluconate dehydrogenase NAD(+)-dependent decarboxylating,,,,,DCGIHJJB_01213,,,,,MHMPKAEF_01120,,GNEALLOE_00883,,,,APCAEHFD_00728,,NBBAMHOG_01170,,,,NBLOMMJF_00768,OLMEONEL_00524,,NDDDCALJ_01079,DLEBNMND_01045,,,,EAAKBJBK_01255,,,,NKJPJJEP_01050,,NLALJHLH_01139,,,GKLKKKNA_00306,,IDKOCMBL_00214,CFGPDMND_00981,DCIIGEBB_00759,CBECPNCO_01261,,DBLHLLOB_01001,,,,,HEOIIJDM_01533,GDFGBGJM_00943,LKPJNLPD_00935,,CHHPHLEM_00667,,ANLJHCED_00936,JMCHCOOD_00309,,ODKBPENJ_01146,
